ID,Hashrate,Reward
0,129687,3
1,327522,6
2,295521,7
3,399933,8
4,316041,14
5,315972,12
6,231056,7
7,368943,11
8,254648,8
9,345669,10
10,224824,9
11,225585,3
12,265581,7
13,237028,6
14,293723,7
15,245197,4
16,301703,8
17,280058,12
18,398859,6
19,288897,9
20,219015,8
21,386517,11
22,401523,12
23,315926,11
24,252214,10
25,266722,8
26,493709,11
27,318315,4
28,189520,5
29,380280,8
30,273105,15
31,426678,18
32,416132,7
33,274498,6
34,275742,4
35,265493,7
36,316659,8
37,348055,10
38,170656,5
39,406173,12
40,265130,9
41,203184,11
42,232142,5
43,379983,13
44,232317,10
45,392433,12
46,394059,10
47,165695,4
48,181799,8
49,402515,13
50,283792,8
51,208944,2
52,169425,5
53,275180,4
54,213345,5
55,283077,11
56,171713,5
57,334839,8
58,200080,7
59,451504,10
60,17845,1
61,427488,10
62,344331,15
63,371322,16
64,282293,8
65,470969,18
66,375636,8
67,268557,11
68,98360,2
69,391115,14
70,462021,8
71,492676,14
72,110005,1
73,476877,20
74,372646,13
75,469261,17
76,340916,3
77,435715,15
78,91336,7
79,347246,15
80,343589,7
81,231928,8
82,362460,7
83,401252,15
84,326778,10
85,379001,13
86,400402,13
87,238786,2
88,313188,12
89,296991,10
90,268561,6
91,157747,5
92,438627,6
93,343235,14
94,218589,6
95,435636,13
96,425862,13
97,204773,6
98,231596,2
99,407676,13
100,327825,10
101,371983,11
102,195929,6
103,375271,13
104,247601,5
105,249851,5
106,358782,8
107,413711,13
108,308654,14
109,295273,11
110,349854,12
111,197206,10
112,273367,10
113,347012,8
114,379548,10
115,249635,5
116,339188,11
117,318106,9
118,182830,11
119,276162,5
120,383142,6
121,322254,10
122,242069,9
123,264528,10
124,270292,5
125,77071,0
126,252363,7
127,324540,8
128,233118,5
129,84527,4
130,202633,4
131,372393,7
132,200876,5
133,331219,15
134,336782,17
135,374042,10
136,416052,13
137,248327,4
138,348555,11
139,333708,9
140,346897,10
141,276064,5
142,283953,7
143,437901,19
144,248909,8
145,182121,7
146,269620,10
147,151369,5
148,376416,12
149,245472,7
150,351957,8
151,232529,7
152,309526,6
153,473142,9
154,352594,8
155,38224,2
156,509431,22
157,201602,7
158,290339,7
159,439567,10
160,240357,5
161,431195,17
162,209177,7
163,357526,19
164,102927,2
165,326825,5
166,232603,6
167,313576,4
168,333939,12
169,309130,6
170,405665,3
171,130508,2
172,280395,10
173,471041,9
174,451585,17
175,389850,15
176,189534,11
177,345422,9
178,213526,5
179,225140,1
180,401604,12
181,252798,6
182,188072,4
183,406994,14
184,378754,10
185,349385,9
186,215259,5
187,399842,13
188,338115,10
189,136068,6
190,294336,13
191,360748,11
192,321805,10
193,310127,9
194,265894,5
195,270079,11
196,177204,5
197,517666,12
198,538539,11
199,274421,7
200,446788,11
201,381131,11
202,431651,15
203,432815,9
204,271827,5
205,357594,13
206,366194,9
207,331312,14
208,210862,7
209,215961,2
210,437347,8
211,262220,8
212,384189,8
213,407987,20
214,298868,14
215,165945,8
216,311387,6
217,413298,12
218,374465,8
219,310967,15
220,276155,7
221,376400,7
222,297244,7
223,336558,5
224,332608,9
225,330649,5
226,360046,10
227,273254,6
228,281954,9
229,215079,6
230,113228,5
231,222399,6
232,292824,9
233,217819,6
234,297390,12
235,307155,10
236,189976,6
237,352287,12
238,255367,6
239,421460,9
240,310728,7
241,251008,7
242,287001,14
243,345231,10
244,292269,4
245,271928,3
246,334976,5
247,314091,8
248,272687,10
249,264715,7
250,139201,5
251,167662,1
252,290640,7
253,194548,6
254,362370,17
255,317352,16
256,418779,6
257,374505,16
258,393444,5
259,221839,3
260,271591,5
261,155138,3
262,465089,18
263,434487,14
264,220008,7
265,353057,9
266,496163,15
267,306079,11
268,374203,11
269,282984,4
270,411476,14
271,307997,8
272,379225,14
273,290818,5
274,347738,15
275,151894,6
276,356001,11
277,326162,11
278,440044,9
279,399490,7
280,209768,8
281,327209,8
282,280437,10
283,480555,15
284,457444,13
285,353828,8
286,433193,17
287,268880,9
288,248561,7
289,445472,15
290,498588,14
291,233675,12
292,231279,8
293,300047,15
294,166940,7
295,297022,15
296,396598,11
297,191967,3
298,207860,3
299,298972,9
300,312717,7
301,415479,13
302,268557,5
303,209582,4
