ID,Hashrate,Reward
0,360924,2
1,248367,5
2,585740,8
3,335182,5
4,230024,3
5,359906,6
6,220994,3
7,277622,4
8,268161,8
9,566056,11
10,433874,4
11,372964,6
12,295022,7
13,423647,6
14,322755,7
15,125221,1
16,207035,3
17,194954,2
18,385367,3
19,401184,4
20,250366,4
21,513060,7
22,267635,3
23,281583,2
24,251010,8
25,397847,7
26,295629,4
27,501159,9
28,220223,5
29,307834,1
30,526581,8
31,147042,1
32,331355,8
33,385078,4
34,350466,4
35,472343,11
36,18254,0
37,309922,3
38,104000,2
39,395351,6
40,381147,6
41,183252,2
42,391626,2
43,106864,1
44,262880,3
45,35854,2
46,375637,8
47,362353,2
48,329070,2
49,261733,3
50,367873,4
51,388793,4
52,230634,3
53,293414,2
54,226314,4
55,228820,2
56,76051,2
57,187594,3
58,106322,1
59,419087,6
60,433924,6
61,411958,9
62,310322,2
63,466021,6
64,327696,6
65,182268,5
66,155864,3
67,461783,13
68,197204,4
69,215661,3
70,463129,3
71,404139,4
72,405316,4
73,278754,3
74,311462,3
75,357246,9
76,340795,2
77,128868,0
78,259767,2
79,96068,0
80,389441,5
81,202349,2
82,416585,3
83,65794,2
84,234179,2
85,335048,2
86,377558,3
87,223281,0
88,62506,2
89,266724,4
90,276742,6
91,465614,7
92,131087,0
93,317458,3
94,221019,5
95,293055,4
96,451271,7
97,302049,4
98,186827,2
99,363658,2
100,297024,3
101,63140,0
102,389551,4
103,201646,3
104,383472,11
105,404489,4
106,503007,7
107,392213,8
108,203166,3
109,268007,5
110,413316,10
111,76353,0
112,332523,4
113,329340,4
114,352608,4
115,140458,3
116,321774,10
117,403433,5
118,445940,9
119,264022,3
120,284925,3
121,145805,2
122,383399,4
123,270378,6
124,300343,1
125,206079,2
126,288457,3
127,302012,5
128,152926,2
129,301761,10
130,412526,11
131,352089,4
132,297554,7
133,249157,1
134,259757,2
135,194144,0
136,333366,4
137,252804,3
138,387546,8
139,279521,4
140,401809,9
141,232007,5
142,436158,7
143,473133,13
144,449096,11
145,239448,8
146,323336,5
147,353354,8
148,131086,6
149,290201,6
150,426369,7
151,164334,4
152,262533,6
153,246896,4
154,348941,4
155,392689,3
