ID,Hashrate,Reward
455,55621,0
456,56713,0
457,272842,5
458,331181,3
459,347777,4
460,132540,0
461,232738,4
462,366969,5
463,334393,8
464,222473,8
465,436527,8
466,280000,5
467,288106,8
468,327700,4
469,202528,4
470,416709,8
471,269974,0
472,250054,1
473,345945,7
474,354945,3
475,394948,6
476,410012,6
477,344694,4
478,231796,3
479,371517,3
480,290989,3
481,371722,4
482,269154,4
483,185387,0
484,270312,2
485,197592,3
486,251342,7
487,323329,4
488,287733,4
489,161467,2
490,236735,2
491,224050,3
492,131536,1
493,291572,4
494,418596,8
495,373671,3
496,271156,2
497,571084,9
498,328627,3
499,317507,6
500,359848,6
501,394898,4
502,214747,3
503,430302,3
504,262941,3
505,355633,2
506,354336,2
507,379189,3
508,222799,5
509,357567,4
510,463569,6
511,329753,2
512,340567,6
513,424967,9
514,262169,3
515,263950,3
516,371329,7
517,271967,5
518,234794,1
519,397402,5
520,318752,6
521,183745,3
522,344590,1
523,241684,1
524,266381,4
525,411220,4
526,262217,2
527,338398,7
528,311979,3
529,285780,5
530,305729,9
531,285350,4
532,249728,2
533,347123,1
534,303280,1
535,386847,6
536,441994,7
537,339458,5
538,226088,2
539,217657,2
540,221170,1
541,193066,3
542,399837,8
543,235460,5
544,276512,4
545,491440,4
546,424450,3
547,289831,3
548,307045,2
549,57118,1
550,373387,4
551,455838,4
552,385857,4
553,402965,5
554,455041,5
555,288985,3
556,289503,1
557,293779,3
558,342103,4
559,294607,4
560,280020,5
561,368923,2
562,310636,6
563,338723,6
564,236630,5
565,474991,8
566,416021,7
567,452040,7
568,308130,3
569,348278,7
570,393556,4
571,385060,11
572,396230,4
573,303375,4
574,261224,2
575,514030,6
576,323372,4
577,362873,5
578,237306,4
579,97601,1
580,160158,1
581,225106,3
582,273690,7
583,314706,3
584,289616,5
585,315181,7
586,265450,4
587,243523,3
588,382161,5
589,408133,3
590,362984,4
591,414940,6
592,346399,4
593,441573,5
594,402543,1
595,310020,3
596,387864,6
597,328897,0
598,232037,4
599,208081,2
600,257305,3
601,165923,0
602,128467,2
603,289958,2
604,63446,1
605,301896,7
606,241952,2
607,416166,7
608,408306,3
609,275785,3
610,372597,12
611,156172,1
612,290633,5
613,473195,9
614,98201,0
615,392885,7
616,250073,5
617,432062,2
618,360432,8
619,357806,8
620,331076,3
621,309674,2
622,148110,0
623,337571,3
624,404302,6
625,257996,5
626,401995,2
627,401170,4
628,405609,10
629,208296,6
630,350027,3
631,244538,2
632,195082,3
633,281164,8
634,190852,2
635,348686,6
636,303847,3
637,190445,4
638,127212,0
639,393159,3
640,287313,6
641,290168,4
642,79843,2
643,186820,4
644,235909,4
645,246390,1
646,258776,2
647,407894,1
648,285682,3
649,129686,2
650,317526,1
651,321392,5
652,282667,6
653,342613,5
654,158829,1
655,176976,1
656,590346,12
657,168888,0
658,522974,10
659,459848,8
660,364711,5
661,143529,0
662,316701,2
663,22179,1
664,291268,3
665,299900,4
666,134800,2
667,386323,2
668,353754,1
669,314806,3
670,163849,4
671,265844,8
672,498588,5
673,116979,0
674,160357,2
675,288324,7
676,333867,4
677,364902,2
678,347788,4
679,359873,0
680,245788,2
681,149857,4
682,424525,10
683,186762,2
684,315986,4
685,144870,0
686,198967,1
687,396725,6
688,267866,4
689,220141,5
690,276336,3
691,258762,5
692,200942,3
693,314896,7
694,329472,4
695,427417,7
696,154510,1
697,219957,4
698,175812,2
699,274715,5
700,432468,8
701,314409,2
702,388095,2
703,421324,10
704,155519,0
705,324273,2
706,379497,6
707,260390,3
708,223834,1
709,130478,2
710,441437,8
711,238021,3
712,308308,5
713,273353,2
714,322566,3
715,507696,5
716,447401,8
717,290615,3
718,267398,3
719,260930,4
720,265053,2
721,300133,5
722,369309,3
723,441914,5
724,517578,2
725,373833,5
726,188999,2
727,320336,5
728,290913,7
729,375707,9
730,368086,12
731,225685,4
732,177367,1
733,192525,3
734,443889,8
735,417989,9
736,297183,3
737,377498,10
738,395448,7
739,230922,4
740,442188,11
741,339992,2
742,277288,5
743,165106,3
744,441775,7
745,183287,4
746,401253,3
747,382777,5
748,240220,5
749,321088,2
750,219621,4
751,287059,3
752,231477,3
753,378001,4
754,376569,2
755,350498,2
756,391229,5
757,343777,4
758,449435,8
759,213527,4
760,511644,6
761,171607,3
762,262532,5
763,228542,3
764,222569,7
765,431367,7
766,340749,6
767,406149,8
768,208314,8
769,358585,5
770,434556,5
771,319226,5
772,300320,7
773,137468,2
774,304567,5
775,281307,5
776,548598,6
777,289243,5
778,369126,6
779,438117,6
780,283805,4
781,238343,2
782,474777,9
